Year,Month,MonthEndDate
2017,1,2017-01-31
2017,2,2017-02-28
2017,3,2017-03-31
2017,4,2017-04-28
2017,5,2017-05-31
2017,6,2017-06-30
2017,7,2017-07-31
2017,8,2017-08-31
2017,9,2017-09-29
2017,10,2017-10-31
2017,11,2017-11-30
2017,12,2017-12-29
2018,1,2018-01-31
2018,2,2018-02-28
2018,3,2018-03-29
2018,4,2018-04-30
2018,5,2018-05-31
2018,6,2018-06-29
2018,7,2018-07-31
2018,8,2018-08-31
2018,9,2018-09-28
2018,10,2018-10-31
2018,11,2018-11-30
2018,12,2018-12-31
2019,1,2019-01-31
2019,2,2019-02-28
2019,3,2019-03-29
2019,4,2019-04-30
2019,5,2019-05-31
2019,6,2019-06-28
2019,7,2019-07-31
2019,8,2019-08-30
2019,9,2019-09-30
2019,10,2019-10-31
2019,11,2019-11-29
2019,12,2019-12-31
2020,1,2020-01-31
2020,2,2020-02-28
2020,3,2020-03-31
2020,4,2020-04-30
2020,5,2020-05-29
2020,6,2020-06-30
2020,7,2020-07-31
2020,8,2020-08-31
2020,9,2020-09-30
2020,10,2020-10-30
2020,11,2020-11-30
2020,12,2020-12-31
2021,1,2021-01-29
2021,2,2021-02-26
2021,3,2021-03-31
2021,4,2021-04-30
2021,5,2021-05-28
2021,6,2021-06-30
2021,7,2021-07-30
2021,8,2021-08-31
2021,9,2021-09-30
2021,10,2021-10-29
2021,11,2021-11-30
2021,12,2021-12-31
2022,1,2022-01-31
2022,2,2022-02-28
2022,3,2022-03-31
2022,4,2022-04-29
2022,5,2022-05-31
2022,6,2022-06-30
2022,7,2022-07-29
2022,8,2022-08-31
2022,9,2022-09-30
2022,10,2022-10-31
2022,11,2022-11-30
2022,12,2022-12-30
2023,1,2023-01-31
2023,2,2023-02-28
2023,3,2023-03-31
2023,4,2023-04-28
2023,5,2023-05-31
2023,6,2023-06-30
2023,7,2023-07-31
2023,8,2023-08-31
2023,9,2023-09-29
2023,10,2023-10-31
2023,11,2023-11-30
2023,12,2023-12-29
2024,1,2024-01-31
2024,2,2024-02-29
2024,3,2024-03-28
2024,4,2024-04-30
2024,5,2024-05-31
2024,6,2024-06-28
2024,7,2024-07-31
2024,8,2024-08-30
2024,9,2024-09-30
2024,10,2024-10-31
2024,11,2024-11-29
2024,12,2024-12-31
2025,1,2025-01-31
2025,2,2025-02-28
2025,3,2025-03-31
2025,4,2025-04-30
2025,5,2025-05-30
2025,6,2025-06-30
2025,7,2025-07-31
2025,8,2025-08-29
2025,9,2025-09-30
2025,10,2025-10-31
2025,11,2025-11-28
2025,12,2025-12-31
2026,1,2026-01-30
2026,2,2026-02-20
